Dataset,Model,Radius,Bits,Tokenizer,Sketch,Mode,Accuracy,MCC
Syntemp_cluster_2,xgb,3,2048,wl,parity,union,0.5413308772737739,0.36689585291787696
USPTO_50k_balanced,xgb,3,2048,wl,parity,union,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,3,2048,wl,parity,union,0.818575,0.8149669220114125
USPTO_50k_unbalanced,xgb,3,2048,wl,parity,union,0.30287884846061575,0.0
schneider50k_balanced,xgb,3,2048,wl,parity,union,0.8306695680448213,0.8272946467648289
Syntemp_cluster_0,xgb,3,2048,wl,parity,union,0.8308400460299195,0.8200574726011002
Syntemp_cluster_1,xgb,3,2048,wl,parity,union,0.6867663981588032,0.6794160280809294
Syntemp_cluster_2,xgb,3,2048,wl,minhash,delta,0.531429887174764,0.35517811551450723
USPTO_50k_balanced,xgb,3,2048,wl,minhash,delta,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,3,2048,wl,minhash,delta,0.7919,0.787692008232195
USPTO_50k_unbalanced,xgb,3,2048,wl,minhash,delta,0.30287884846061575,0.0
schneider50k_balanced,xgb,3,2048,wl,minhash,delta,0.8030314399339686,0.7990616392879522
Syntemp_cluster_0,xgb,3,2048,wl,minhash,delta,0.8243958573072497,0.8124294189127313
Syntemp_cluster_1,xgb,3,2048,wl,minhash,delta,0.705638665132336,0.6997540710875135
Syntemp_cluster_2,xgb,3,2048,wl,minhash,union,0.5056412618005987,0.3002960476844315
USPTO_50k_balanced,xgb,3,2048,wl,minhash,union,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,3,2048,wl,minhash,union,0.67785,0.671381615295331
USPTO_50k_unbalanced,xgb,3,2048,wl,minhash,union,0.30287884846061575,0.0
schneider50k_balanced,xgb,3,2048,wl,minhash,union,0.7224931842625247,0.7168843673675015
Syntemp_cluster_0,xgb,3,2048,wl,minhash,union,0.7120828538550058,0.6940133365256169
Syntemp_cluster_1,xgb,3,2048,wl,minhash,union,0.569620253164557,0.559138660166257
Syntemp_cluster_2,xgb,3,2048,wl,cw,delta,0.4317292194335713,0.03734298459689842
USPTO_50k_balanced,xgb,3,2048,wl,cw,delta,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,3,2048,wl,cw,delta,0.09205,0.07362975158439956
USPTO_50k_unbalanced,xgb,3,2048,wl,cw,delta,0.30287884846061575,0.0
schneider50k_balanced,xgb,3,2048,wl,cw,delta,0.17253195267752183,0.1561210509698873
Syntemp_cluster_0,xgb,3,2048,wl,cw,delta,0.19838895281933255,0.06794462405147611
Syntemp_cluster_1,xgb,3,2048,wl,cw,delta,0.1523590333716916,0.10828358283153539
Syntemp_cluster_2,xgb,3,2048,wl,cw,union,0.4305779415150817,0.0
USPTO_50k_balanced,xgb,3,2048,wl,cw,union,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,3,2048,wl,cw,union,0.0472,0.027828929933938786
USPTO_50k_unbalanced,xgb,3,2048,wl,cw,union,0.30287884846061575,0.0
schneider50k_balanced,xgb,3,2048,wl,cw,union,0.04874815537380255,0.029419354871398334
Syntemp_cluster_0,xgb,3,2048,wl,cw,union,0.17307249712313003,0.008198784462400204
Syntemp_cluster_1,xgb,3,2048,wl,cw,union,0.09804372842347527,0.03263550016426472
